Time    Source  Destination PacketType  FlitID  PacketID    FlitPosition    IsHead  IsTail  
0       1       5           ANY         0       0           0/13            1       0       
2       1       5           ANY         1       0           1/13            0       0       
3       1       5           ANY         2       0           2/13            0       0       
5       1       5           ANY         3       0           3/13            0       0       
6       1       5           ANY         4       0           4/13            0       0       
8       1       5           ANY         5       0           5/13            0       0       
9       1       5           ANY         6       0           6/13            0       0       
11      1       5           ANY         7       0           7/13            0       0       
12      1       5           ANY         8       0           8/13            0       0       
14      1       5           ANY         9       0           9/13            0       0       
16      1       5           ANY         10      0           10/13           0       0       
17      1       5           ANY         11      0           11/13           0       0       
19      1       5           ANY         12      0           12/13           0       0       
20      1       5           ANY         13      0           13/13           0       1       
22      1       38          ANY         14      1           0/13            1       0       
23      1       38          ANY         15      1           1/13            0       0       
25      1       38          ANY         16      1           2/13            0       0       
27      1       38          ANY         17      1           3/13            0       0       
28      1       38          ANY         18      1           4/13            0       0       
30      1       38          ANY         19      1           5/13            0       0       
31      1       38          ANY         20      1           6/13            0       0       
33      1       38          ANY         21      1           7/13            0       0       
34      1       38          ANY         22      1           8/13            0       0       
36      1       38          ANY         23      1           9/13            0       0       
38      1       38          ANY         24      1           10/13           0       0       
39      1       38          ANY         25      1           11/13           0       0       
41      1       38          ANY         26      1           12/13           0       0       
42      1       38          ANY         27      1           13/13           0       1       
44      1       39          ANY         28      2           0/13            1       0       
45      1       39          ANY         29      2           1/13            0       0       
47      1       39          ANY         30      2           2/13            0       0       
48      1       39          ANY         31      2           3/13            0       0       
50      1       39          ANY         32      2           4/13            0       0       
52      1       39          ANY         33      2           5/13            0       0       
53      1       39          ANY         34      2           6/13            0       0       
55      1       39          ANY         35      2           7/13            0       0       
56      1       39          ANY         36      2           8/13            0       0       
58      1       39          ANY         37      2           9/13            0       0       
59      1       39          ANY         38      2           10/13           0       0       
61      1       39          ANY         39      2           11/13           0       0       
62      1       39          ANY         40      2           12/13           0       0       
64      1       39          ANY         41      2           13/13           0       1       
66      1       40          ANY         42      3           0/13            1       0       
67      1       40          ANY         43      3           1/13            0       0       
69      1       40          ANY         44      3           2/13            0       0       
70      1       40          ANY         45      3           3/13            0       0       
72      1       40          ANY         46      3           4/13            0       0       
73      1       40          ANY         47      3           5/13            0       0       
75      1       40          ANY         48      3           6/13            0       0       
77      1       40          ANY         49      3           7/13            0       0       
78      1       40          ANY         50      3           8/13            0       0       
80      1       40          ANY         51      3           9/13            0       0       
81      1       40          ANY         52      3           10/13           0       0       
83      1       40          ANY         53      3           11/13           0       0       
84      1       40          ANY         54      3           12/13           0       0       
86      1       40          ANY         55      3           13/13           0       1       
88      1       41          ANY         56      4           0/13            1       0       
89      1       41          ANY         57      4           1/13            0       0       
91      1       41          ANY         58      4           2/13            0       0       
92      1       41          ANY         59      4           3/13            0       0       
94      1       41          ANY         60      4           4/13            0       0       
95      1       41          ANY         61      4           5/13            0       0       
97      1       41          ANY         62      4           6/13            0       0       
98      1       41          ANY         63      4           7/13            0       0       
100     1       41          ANY         64      4           8/13            0       0       
102     1       41          ANY         65      4           9/13            0       0       
103     1       41          ANY         66      4           10/13           0       0       
105     1       41          ANY         67      4           11/13           0       0       
106     1       41          ANY         68      4           12/13           0       0       
108     1       41          ANY         69      4           13/13           0       1       
109     1       42          ANY         70      5           0/13            1       0       
111     1       42          ANY         71      5           1/13            0       0       
112     1       42          ANY         72      5           2/13            0       0       
114     1       42          ANY         73      5           3/13            0       0       
116     1       42          ANY         74      5           4/13            0       0       
117     1       42          ANY         75      5           5/13            0       0       
119     1       42          ANY         76      5           6/13            0       0       
120     1       42          ANY         77      5           7/13            0       0       
122     1       42          ANY         78      5           8/13            0       0       
123     1       42          ANY         79      5           9/13            0       0       
125     1       42          ANY         80      5           10/13           0       0       
127     1       42          ANY         81      5           11/13           0       0       
128     1       42          ANY         82      5           12/13           0       0       
130     1       42          ANY         83      5           13/13           0       1       
131     1       43          ANY         84      6           0/13            1       0       
133     1       43          ANY         85      6           1/13            0       0       
134     1       43          ANY         86      6           2/13            0       0       
136     1       43          ANY         87      6           3/13            0       0       
138     1       43          ANY         88      6           4/13            0       0       
139     1       43          ANY         89      6           5/13            0       0       
141     1       43          ANY         90      6           6/13            0       0       
142     1       43          ANY         91      6           7/13            0       0       
144     1       43          ANY         92      6           8/13            0       0       
145     1       43          ANY         93      6           9/13            0       0       
147     1       43          ANY         94      6           10/13           0       0       
148     1       43          ANY         95      6           11/13           0       0       
150     1       43          ANY         96      6           12/13           0       0       
152     1       43          ANY         97      6           13/13           0       1       
153     1       44          ANY         98      7           0/13            1       0       
155     1       44          ANY         99      7           1/13            0       0       
156     1       44          ANY         100     7           2/13            0       0       
158     1       44          ANY         101     7           3/13            0       0       
159     1       44          ANY         102     7           4/13            0       0       
161     1       44          ANY         103     7           5/13            0       0       
162     1       44          ANY         104     7           6/13            0       0       
164     1       44          ANY         105     7           7/13            0       0       
166     1       44          ANY         106     7           8/13            0       0       
167     1       44          ANY         107     7           9/13            0       0       
169     1       44          ANY         108     7           10/13           0       0       
170     1       44          ANY         109     7           11/13           0       0       
172     1       44          ANY         110     7           12/13           0       0       
173     1       44          ANY         111     7           13/13           0       1       
175     1       37          ANY         112     8           0/13            1       0       
177     1       37          ANY         113     8           1/13            0       0       
178     1       37          ANY         114     8           2/13            0       0       
180     1       37          ANY         115     8           3/13            0       0       
181     1       37          ANY         116     8           4/13            0       0       
183     1       37          ANY         117     8           5/13            0       0       
184     1       37          ANY         118     8           6/13            0       0       
186     1       37          ANY         119     8           7/13            0       0       
188     1       37          ANY         120     8           8/13            0       0       
189     1       37          ANY         121     8           9/13            0       0       
191     1       37          ANY         122     8           10/13           0       0       
192     1       37          ANY         123     8           11/13           0       0       
194     1       37          ANY         124     8           12/13           0       0       
195     1       37          ANY         125     8           13/13           0       1       
197     1       45          ANY         126     9           0/13            1       0       
198     1       45          ANY         127     9           1/13            0       0       
200     1       45          ANY         128     9           2/13            0       0       
202     1       45          ANY         129     9           3/13            0       0       
203     1       45          ANY         130     9           4/13            0       0       
205     1       45          ANY         131     9           5/13            0       0       
206     1       45          ANY         132     9           6/13            0       0       
208     1       45          ANY         133     9           7/13            0       0       
209     1       45          ANY         134     9           8/13            0       0       
211     1       45          ANY         135     9           9/13            0       0       
212     1       45          ANY         136     9           10/13           0       0       
214     1       45          ANY         137     9           11/13           0       0       
216     1       45          ANY         138     9           12/13           0       0       
217     1       45          ANY         139     9           13/13           0       1       
219     1       47          ANY         140     10          0/13            1       0       
220     1       47          ANY         141     10          1/13            0       0       
222     1       47          ANY         142     10          2/13            0       0       
223     1       47          ANY         143     10          3/13            0       0       
225     1       47          ANY         144     10          4/13            0       0       
227     1       47          ANY         145     10          5/13            0       0       
228     1       47          ANY         146     10          6/13            0       0       
230     1       47          ANY         147     10          7/13            0       0       
231     1       47          ANY         148     10          8/13            0       0       
233     1       47          ANY         149     10          9/13            0       0       
234     1       47          ANY         150     10          10/13           0       0       
236     1       47          ANY         151     10          11/13           0       0       
238     1       47          ANY         152     10          12/13           0       0       
239     1       47          ANY         153     10          13/13           0       1       
241     1       52          ANY         154     11          0/13            1       0       
242     1       52          ANY         155     11          1/13            0       0       
244     1       52          ANY         156     11          2/13            0       0       
245     1       52          ANY         157     11          3/13            0       0       
247     1       52          ANY         158     11          4/13            0       0       
248     1       52          ANY         159     11          5/13            0       0       
250     1       52          ANY         160     11          6/13            0       0       
252     1       52          ANY         161     11          7/13            0       0       
253     1       52          ANY         162     11          8/13            0       0       
255     1       52          ANY         163     11          9/13            0       0       
256     1       52          ANY         164     11          10/13           0       0       
258     1       52          ANY         165     11          11/13           0       0       
259     1       52          ANY         166     11          12/13           0       0       
261     1       52          ANY         167     11          13/13           0       1       
262     1       53          ANY         168     12          0/13            1       0       
264     1       53          ANY         169     12          1/13            0       0       
266     1       53          ANY         170     12          2/13            0       0       
267     1       53          ANY         171     12          3/13            0       0       
269     1       53          ANY         172     12          4/13            0       0       
270     1       53          ANY         173     12          5/13            0       0       
272     1       53          ANY         174     12          6/13            0       0       
273     1       53          ANY         175     12          7/13            0       0       
275     1       53          ANY         176     12          8/13            0       0       
277     1       53          ANY         177     12          9/13            0       0       
278     1       53          ANY         178     12          10/13           0       0       
280     1       53          ANY         179     12          11/13           0       0       
281     1       53          ANY         180     12          12/13           0       0       
283     1       53          ANY         181     12          13/13           0       1       
284     1       54          ANY         182     13          0/13            1       0       
286     1       54          ANY         183     13          1/13            0       0       
288     1       54          ANY         184     13          2/13            0       0       
289     1       54          ANY         185     13          3/13            0       0       
291     1       54          ANY         186     13          4/13            0       0       
292     1       54          ANY         187     13          5/13            0       0       
294     1       54          ANY         188     13          6/13            0       0       
295     1       54          ANY         189     13          7/13            0       0       
297     1       54          ANY         190     13          8/13            0       0       
298     1       54          ANY         191     13          9/13            0       0       
300     1       54          ANY         192     13          10/13           0       0       
302     1       54          ANY         193     13          11/13           0       0       
303     1       54          ANY         194     13          12/13           0       0       
305     1       54          ANY         195     13          13/13           0       1       
306     1       55          ANY         196     14          0/13            1       0       
308     1       55          ANY         197     14          1/13            0       0       
309     1       55          ANY         198     14          2/13            0       0       
311     1       55          ANY         199     14          3/13            0       0       
312     1       55          ANY         200     14          4/13            0       0       
314     1       55          ANY         201     14          5/13            0       0       
316     1       55          ANY         202     14          6/13            0       0       
317     1       55          ANY         203     14          7/13            0       0       
319     1       55          ANY         204     14          8/13            0       0       
320     1       55          ANY         205     14          9/13            0       0       
322     1       55          ANY         206     14          10/13           0       0       
323     1       55          ANY         207     14          11/13           0       0       
325     1       55          ANY         208     14          12/13           0       0       
327     1       55          ANY         209     14          13/13           0       1       
328     1       58          ANY         210     15          0/13            1       0       
330     1       58          ANY         211     15          1/13            0       0       
331     1       58          ANY         212     15          2/13            0       0       
333     1       58          ANY         213     15          3/13            0       0       
334     1       58          ANY         214     15          4/13            0       0       
336     1       58          ANY         215     15          5/13            0       0       
338     1       58          ANY         216     15          6/13            0       0       
339     1       58          ANY         217     15          7/13            0       0       
341     1       58          ANY         218     15          8/13            0       0       
342     1       58          ANY         219     15          9/13            0       0       
344     1       58          ANY         220     15          10/13           0       0       
345     1       58          ANY         221     15          11/13           0       0       
347     1       58          ANY         222     15          12/13           0       0       
348     1       58          ANY         223     15          13/13           0       1       
350     1       59          ANY         224     16          0/13            1       0       
352     1       59          ANY         225     16          1/13            0       0       
353     1       59          ANY         226     16          2/13            0       0       
355     1       59          ANY         227     16          3/13            0       0       
356     1       59          ANY         228     16          4/13            0       0       
358     1       59          ANY         229     16          5/13            0       0       
359     1       59          ANY         230     16          6/13            0       0       
361     1       59          ANY         231     16          7/13            0       0       
362     1       59          ANY         232     16          8/13            0       0       
364     1       59          ANY         233     16          9/13            0       0       
366     1       59          ANY         234     16          10/13           0       0       
367     1       59          ANY         235     16          11/13           0       0       
369     1       59          ANY         236     16          12/13           0       0       
370     1       59          ANY         237     16          13/13           0       1       
372     1       46          ANY         238     17          0/13            1       0       
373     1       46          ANY         239     17          1/13            0       0       
375     1       46          ANY         240     17          2/13            0       0       
377     1       46          ANY         241     17          3/13            0       0       
378     1       46          ANY         242     17          4/13            0       0       
380     1       46          ANY         243     17          5/13            0       0       
381     1       46          ANY         244     17          6/13            0       0       
383     1       46          ANY         245     17          7/13            0       0       
384     1       46          ANY         246     17          8/13            0       0       
386     1       46          ANY         247     17          9/13            0       0       
388     1       46          ANY         248     17          10/13           0       0       
389     1       46          ANY         249     17          11/13           0       0       
391     1       46          ANY         250     17          12/13           0       0       
392     1       46          ANY         251     17          13/13           0       1       
394     1       35          ANY         252     18          0/13            1       0       
395     1       35          ANY         253     18          1/13            0       0       
397     1       35          ANY         254     18          2/13            0       0       
398     1       35          ANY         255     18          3/13            0       0       
400     1       35          ANY         256     18          4/13            0       0       
402     1       35          ANY         257     18          5/13            0       0       
403     1       35          ANY         258     18          6/13            0       0       
405     1       35          ANY         259     18          7/13            0       0       
406     1       35          ANY         260     18          8/13            0       0       
408     1       35          ANY         261     18          9/13            0       0       
409     1       35          ANY         262     18          10/13           0       0       
411     1       35          ANY         263     18          11/13           0       0       
412     1       35          ANY         264     18          12/13           0       0       
414     1       35          ANY         265     18          13/13           0       1       
416     1       36          ANY         266     19          0/13            1       0       
417     1       36          ANY         267     19          1/13            0       0       
419     1       36          ANY         268     19          2/13            0       0       
420     1       36          ANY         269     19          3/13            0       0       
422     1       36          ANY         270     19          4/13            0       0       
423     1       36          ANY         271     19          5/13            0       0       
425     1       36          ANY         272     19          6/13            0       0       
427     1       36          ANY         273     19          7/13            0       0       
428     1       36          ANY         274     19          8/13            0       0       
430     1       36          ANY         275     19          9/13            0       0       
431     1       36          ANY         276     19          10/13           0       0       
433     1       36          ANY         277     19          11/13           0       0       
434     1       36          ANY         278     19          12/13           0       0       
436     1       36          ANY         279     19          13/13           0       1       
438     1       33          ANY         280     20          0/13            1       0       
439     1       33          ANY         281     20          1/13            0       0       
441     1       33          ANY         282     20          2/13            0       0       
442     1       33          ANY         283     20          3/13            0       0       
444     1       33          ANY         284     20          4/13            0       0       
445     1       33          ANY         285     20          5/13            0       0       
447     1       33          ANY         286     20          6/13            0       0       
448     1       33          ANY         287     20          7/13            0       0       
450     1       33          ANY         288     20          8/13            0       0       
452     1       33          ANY         289     20          9/13            0       0       
453     1       33          ANY         290     20          10/13           0       0       
455     1       33          ANY         291     20          11/13           0       0       
456     1       33          ANY         292     20          12/13           0       0       
458     1       33          ANY         293     20          13/13           0       1       
459     1       6           ANY         294     21          0/13            1       0       
461     1       6           ANY         295     21          1/13            0       0       
462     1       6           ANY         296     21          2/13            0       0       
464     1       6           ANY         297     21          3/13            0       0       
466     1       6           ANY         298     21          4/13            0       0       
467     1       6           ANY         299     21          5/13            0       0       
469     1       6           ANY         300     21          6/13            0       0       
470     1       6           ANY         301     21          7/13            0       0       
472     1       6           ANY         302     21          8/13            0       0       
473     1       6           ANY         303     21          9/13            0       0       
475     1       6           ANY         304     21          10/13           0       0       
477     1       6           ANY         305     21          11/13           0       0       
478     1       6           ANY         306     21          12/13           0       0       
480     1       6           ANY         307     21          13/13           0       1       
481     1       7           ANY         308     22          0/13            1       0       
483     1       7           ANY         309     22          1/13            0       0       
484     1       7           ANY         310     22          2/13            0       0       
486     1       7           ANY         311     22          3/13            0       0       
488     1       7           ANY         312     22          4/13            0       0       
489     1       7           ANY         313     22          5/13            0       0       
