Time    Source  Destination PacketType  FlitID  PacketID    FlitPosition    IsHead  IsTail  
0       1       23          ANY         0       0           0/0             1       1       
2       5       50          ANY         96      96          0/0             1       1       
3       6       17          ANY         160     160         0/0             1       1       
5       7       34          ANY         256     256         0/0             1       1       
6       9       2           ANY         352     352         0/0             1       1       
8       10      28          ANY         448     448         0/0             1       1       
9       13      22          ANY         544     544         0/0             1       1       
11      16      56          ANY         640     640         0/0             1       1       
12      18      23          ANY         736     736         0/0             1       1       
14      19      58          ANY         832     832         0/0             1       1       
16      20      13          ANY         928     928         0/0             1       1       
17      22      56          ANY         1120    1120        0/0             1       1       
19      23      33          ANY         1184    1184        0/0             1       1       
20      26      28          ANY         1344    1344        0/0             1       1       
22      27      34          ANY         1440    1440        0/0             1       1       
23      28      53          ANY         1536    1536        0/0             1       1       
25      29      2           ANY         1632    1632        0/0             1       1       
27      30      27          ANY         1824    1824        0/0             1       1       
28      33      18          ANY         1920    1920        0/0             1       1       
30      34      21          ANY         2112    2112        0/0             1       1       
31      35      43          ANY         2208    2208        0/0             1       1       
33      36      15          ANY         2304    2304        0/0             1       1       
34      37      30          ANY         2400    2400        0/0             1       1       
36      38      22          ANY         2496    2496        0/0             1       1       
38      39      12          ANY         2592    2592        0/0             1       1       
39      40      12          ANY         2688    2688        0/0             1       1       
41      41      0           ANY         2944    2944        0/0             1       1       
42      42      56          ANY         3232    3232        0/0             1       1       
44      43      22          ANY         3328    3328        0/0             1       1       
45      44      0           ANY         3424    3424        0/0             1       1       
47      45      27          ANY         5404    5404        0/0             1       1       
48      46      12          ANY         5500    5500        0/0             1       1       
50      47      13          ANY         5692    5692        0/0             1       1       
52      48      0           ANY         5788    5788        0/0             1       1       
53      49      14          ANY         6172    6172        0/0             1       1       
55      54      28          ANY         6268    6268        0/0             1       1       
56      55      49          ANY         6460    6460        0/0             1       1       
58      56      0           ANY         6524    6524        0/0             1       1       
59      57      3           ANY         6908    6908        0/0             1       1       
61      61      13          ANY         7004    7004        0/0             1       1       
62      62      14          ANY         7100    7100        0/0             1       1       
64      1       23          ANY         1       1           0/0             1       1       
66      5       50          ANY         97      97          0/0             1       1       
67      6       17          ANY         161     161         0/0             1       1       
69      7       34          ANY         257     257         0/0             1       1       
70      9       2           ANY         353     353         0/0             1       1       
72      10      28          ANY         449     449         0/0             1       1       
73      13      22          ANY         545     545         0/0             1       1       
75      16      56          ANY         641     641         0/0             1       1       
77      18      23          ANY         737     737         0/0             1       1       
78      19      58          ANY         833     833         0/0             1       1       
80      20      13          ANY         929     929         0/0             1       1       
81      22      56          ANY         1121    1121        0/0             1       1       
83      23      33          ANY         1185    1185        0/0             1       1       
84      26      28          ANY         1345    1345        0/0             1       1       
86      27      34          ANY         1441    1441        0/0             1       1       
88      28      53          ANY         1537    1537        0/0             1       1       
89      29      2           ANY         1633    1633        0/0             1       1       
91      30      27          ANY         1825    1825        0/0             1       1       
92      33      18          ANY         1921    1921        0/0             1       1       
94      34      21          ANY         2113    2113        0/0             1       1       
95      35      43          ANY         2209    2209        0/0             1       1       
97      36      15          ANY         2305    2305        0/0             1       1       
98      37      30          ANY         2401    2401        0/0             1       1       
100     38      22          ANY         2497    2497        0/0             1       1       
102     39      12          ANY         2593    2593        0/0             1       1       
103     40      12          ANY         2689    2689        0/0             1       1       
105     41      0           ANY         2945    2945        0/0             1       1       
106     42      56          ANY         3233    3233        0/0             1       1       
108     43      22          ANY         3329    3329        0/0             1       1       
109     44      0           ANY         3425    3425        0/0             1       1       
111     45      27          ANY         5405    5405        0/0             1       1       
112     46      12          ANY         5501    5501        0/0             1       1       
114     47      13          ANY         5693    5693        0/0             1       1       
116     48      0           ANY         5789    5789        0/0             1       1       
117     49      14          ANY         6173    6173        0/0             1       1       
119     54      28          ANY         6269    6269        0/0             1       1       
120     55      49          ANY         6461    6461        0/0             1       1       
122     56      0           ANY         6525    6525        0/0             1       1       
123     57      3           ANY         6909    6909        0/0             1       1       
125     61      13          ANY         7005    7005        0/0             1       1       
127     62      14          ANY         7101    7101        0/0             1       1       
128     1       23          ANY         2       2           0/0             1       1       
130     5       50          ANY         98      98          0/0             1       1       
131     6       17          ANY         162     162         0/0             1       1       
133     7       34          ANY         258     258         0/0             1       1       
134     9       2           ANY         354     354         0/0             1       1       
136     10      28          ANY         450     450         0/0             1       1       
138     13      22          ANY         546     546         0/0             1       1       
139     16      56          ANY         642     642         0/0             1       1       
141     18      23          ANY         738     738         0/0             1       1       
142     19      58          ANY         834     834         0/0             1       1       
144     20      13          ANY         930     930         0/0             1       1       
145     22      56          ANY         1122    1122        0/0             1       1       
147     23      33          ANY         1186    1186        0/0             1       1       
148     26      28          ANY         1346    1346        0/0             1       1       
150     27      34          ANY         1442    1442        0/0             1       1       
152     28      53          ANY         1538    1538        0/0             1       1       
153     29      2           ANY         1634    1634        0/0             1       1       
155     30      27          ANY         1826    1826        0/0             1       1       
156     33      18          ANY         1922    1922        0/0             1       1       
158     34      21          ANY         2114    2114        0/0             1       1       
159     35      43          ANY         2210    2210        0/0             1       1       
161     36      15          ANY         2306    2306        0/0             1       1       
162     37      30          ANY         2402    2402        0/0             1       1       
164     38      22          ANY         2498    2498        0/0             1       1       
166     39      12          ANY         2594    2594        0/0             1       1       
167     40      12          ANY         2690    2690        0/0             1       1       
169     41      0           ANY         2946    2946        0/0             1       1       
170     42      56          ANY         3234    3234        0/0             1       1       
172     43      22          ANY         3330    3330        0/0             1       1       
173     44      0           ANY         3426    3426        0/0             1       1       
175     45      27          ANY         5406    5406        0/0             1       1       
177     46      12          ANY         5502    5502        0/0             1       1       
178     47      13          ANY         5694    5694        0/0             1       1       
180     48      0           ANY         5790    5790        0/0             1       1       
181     49      14          ANY         6174    6174        0/0             1       1       
183     54      28          ANY         6270    6270        0/0             1       1       
184     55      49          ANY         6462    6462        0/0             1       1       
186     56      0           ANY         6526    6526        0/0             1       1       
188     57      3           ANY         6910    6910        0/0             1       1       
189     61      13          ANY         7006    7006        0/0             1       1       
191     62      14          ANY         7102    7102        0/0             1       1       
192     1       23          ANY         3       3           0/0             1       1       
194     5       50          ANY         99      99          0/0             1       1       
195     6       17          ANY         163     163         0/0             1       1       
197     7       34          ANY         259     259         0/0             1       1       
198     9       2           ANY         355     355         0/0             1       1       
200     10      28          ANY         451     451         0/0             1       1       
202     13      22          ANY         547     547         0/0             1       1       
203     16      56          ANY         643     643         0/0             1       1       
205     18      23          ANY         739     739         0/0             1       1       
206     19      58          ANY         835     835         0/0             1       1       
208     20      13          ANY         931     931         0/0             1       1       
209     22      56          ANY         1123    1123        0/0             1       1       
211     23      33          ANY         1187    1187        0/0             1       1       
212     26      28          ANY         1347    1347        0/0             1       1       
214     27      34          ANY         1443    1443        0/0             1       1       
216     28      53          ANY         1539    1539        0/0             1       1       
217     29      2           ANY         1635    1635        0/0             1       1       
219     30      27          ANY         1827    1827        0/0             1       1       
220     33      18          ANY         1923    1923        0/0             1       1       
222     34      21          ANY         2115    2115        0/0             1       1       
223     35      43          ANY         2211    2211        0/0             1       1       
225     36      15          ANY         2307    2307        0/0             1       1       
227     37      30          ANY         2403    2403        0/0             1       1       
228     38      22          ANY         2499    2499        0/0             1       1       
230     39      12          ANY         2595    2595        0/0             1       1       
231     40      12          ANY         2691    2691        0/0             1       1       
233     41      0           ANY         2947    2947        0/0             1       1       
234     42      56          ANY         3235    3235        0/0             1       1       
236     43      22          ANY         3331    3331        0/0             1       1       
238     44      0           ANY         3427    3427        0/0             1       1       
239     45      27          ANY         5407    5407        0/0             1       1       
241     46      12          ANY         5503    5503        0/0             1       1       
242     47      13          ANY         5695    5695        0/0             1       1       
244     48      0           ANY         5791    5791        0/0             1       1       
245     49      14          ANY         6175    6175        0/0             1       1       
247     54      28          ANY         6271    6271        0/0             1       1       
248     55      49          ANY         6463    6463        0/0             1       1       
250     56      0           ANY         6527    6527        0/0             1       1       
252     57      3           ANY         6911    6911        0/0             1       1       
253     61      13          ANY         7007    7007        0/0             1       1       
255     62      14          ANY         7103    7103        0/0             1       1       
256     1       23          ANY         4       4           0/0             1       1       
258     5       50          ANY         100     100         0/0             1       1       
259     6       17          ANY         164     164         0/0             1       1       
261     7       34          ANY         260     260         0/0             1       1       
262     9       2           ANY         356     356         0/0             1       1       
264     10      28          ANY         452     452         0/0             1       1       
266     13      22          ANY         548     548         0/0             1       1       
267     16      56          ANY         644     644         0/0             1       1       
269     18      23          ANY         740     740         0/0             1       1       
270     19      58          ANY         836     836         0/0             1       1       
272     20      13          ANY         932     932         0/0             1       1       
273     22      56          ANY         1124    1124        0/0             1       1       
275     23      33          ANY         1188    1188        0/0             1       1       
277     26      28          ANY         1348    1348        0/0             1       1       
278     27      34          ANY         1444    1444        0/0             1       1       
280     28      53          ANY         1540    1540        0/0             1       1       
281     29      2           ANY         1636    1636        0/0             1       1       
283     30      27          ANY         1828    1828        0/0             1       1       
284     33      18          ANY         1924    1924        0/0             1       1       
286     34      21          ANY         2116    2116        0/0             1       1       
288     35      43          ANY         2212    2212        0/0             1       1       
289     36      15          ANY         2308    2308        0/0             1       1       
291     37      30          ANY         2404    2404        0/0             1       1       
292     38      22          ANY         2500    2500        0/0             1       1       
294     39      12          ANY         2596    2596        0/0             1       1       
295     40      12          ANY         2692    2692        0/0             1       1       
297     41      0           ANY         2948    2948        0/0             1       1       
298     42      56          ANY         3236    3236        0/0             1       1       
300     43      22          ANY         3332    3332        0/0             1       1       
302     44      0           ANY         3428    3428        0/0             1       1       
303     45      27          ANY         5408    5408        0/0             1       1       
305     46      12          ANY         5504    5504        0/0             1       1       
306     47      13          ANY         5696    5696        0/0             1       1       
308     48      0           ANY         5792    5792        0/0             1       1       
309     49      14          ANY         6176    6176        0/0             1       1       
311     54      28          ANY         6272    6272        0/0             1       1       
312     55      49          ANY         6464    6464        0/0             1       1       
314     56      0           ANY         6528    6528        0/0             1       1       
316     57      3           ANY         6912    6912        0/0             1       1       
317     61      13          ANY         7008    7008        0/0             1       1       
319     62      14          ANY         7104    7104        0/0             1       1       
320     1       23          ANY         5       5           0/0             1       1       
322     5       50          ANY         101     101         0/0             1       1       
323     6       17          ANY         165     165         0/0             1       1       
325     7       34          ANY         261     261         0/0             1       1       
327     9       2           ANY         357     357         0/0             1       1       
328     10      28          ANY         453     453         0/0             1       1       
330     13      22          ANY         549     549         0/0             1       1       
331     16      56          ANY         645     645         0/0             1       1       
333     18      23          ANY         741     741         0/0             1       1       
334     19      58          ANY         837     837         0/0             1       1       
336     20      13          ANY         933     933         0/0             1       1       
338     22      56          ANY         1125    1125        0/0             1       1       
339     23      33          ANY         1189    1189        0/0             1       1       
341     26      28          ANY         1349    1349        0/0             1       1       
342     27      34          ANY         1445    1445        0/0             1       1       
344     28      53          ANY         1541    1541        0/0             1       1       
345     29      2           ANY         1637    1637        0/0             1       1       
347     30      27          ANY         1829    1829        0/0             1       1       
